[10-Aug-2025 15:47:52 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 141
[10-Aug-2025 15:47:52 Europe/Berlin] PHP Warning:  Undefined array key "sell_price" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 142
[10-Aug-2025 15:47:52 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 142
[10-Aug-2025 15:47:52 Europe/Berlin] PHP Warning:  Undefined array key "course_status" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 143
[10-Aug-2025 15:47:52 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 143
[10-Aug-2025 15:47:52 Europe/Berlin] PHP Warning:  Undefined array key "course_video_intro" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 144
[10-Aug-2025 15:47:52 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 144
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Warning:  Undefined array key "course_title" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 137
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 137
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Warning:  Undefined array key "course_description" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 138
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 138
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Warning:  Undefined array key "course_level" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 139
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 139
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Warning:  Undefined array key "course_type" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 140
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 140
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Warning:  Undefined array key "regular_price" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 141
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 141
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Warning:  Undefined array key "sell_price" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 142
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 142
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Warning:  Undefined array key "course_status" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 143
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 143
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Warning:  Undefined array key "course_video_intro" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 144
[10-Aug-2025 15:48:12 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 144
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Warning:  Undefined array key "course_title" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 137
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 137
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Warning:  Undefined array key "course_description" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 138
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 138
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Warning:  Undefined array key "course_level" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 139
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 139
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Warning:  Undefined array key "course_type" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 140
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 140
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Warning:  Undefined array key "regular_price" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 141
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 141
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Warning:  Undefined array key "sell_price" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 142
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 142
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Warning:  Undefined array key "course_status" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 143
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 143
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Warning:  Undefined array key "course_video_intro" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 144
[10-Aug-2025 15:48:38 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 144
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Warning:  Undefined array key "course_title" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 137
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 137
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Warning:  Undefined array key "course_description" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 138
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 138
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Warning:  Undefined array key "course_level" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 139
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 139
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Warning:  Undefined array key "course_type" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 140
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 140
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Warning:  Undefined array key "regular_price" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 141
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 141
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Warning:  Undefined array key "sell_price" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 142
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 142
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Warning:  Undefined array key "course_status" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 143
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 143
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Warning:  Undefined array key "course_video_intro" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 144
[10-Aug-2025 15:48:59 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 144
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Warning:  Undefined array key "course_title" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 137
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 137
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Warning:  Undefined array key "course_description" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 138
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 138
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Warning:  Undefined array key "course_level" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 139
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 139
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Warning:  Undefined array key "course_type" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 140
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 140
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Warning:  Undefined array key "regular_price" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 141
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 141
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Warning:  Undefined array key "sell_price" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 142
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 142
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Warning:  Undefined array key "course_status" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 143
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 143
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Warning:  Undefined array key "course_video_intro" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 144
[10-Aug-2025 15:50:21 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 144
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Warning:  Undefined array key "course_title" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 137
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 137
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Warning:  Undefined array key "course_description" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 138
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 138
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Warning:  Undefined array key "course_level" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 139
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 139
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Warning:  Undefined array key "course_type" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 140
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 140
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Warning:  Undefined array key "regular_price" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 141
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 141
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Warning:  Undefined array key "sell_price" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 142
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 142
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Warning:  Undefined array key "course_status" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 143
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 143
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Warning:  Undefined array key "course_video_intro" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 144
[10-Aug-2025 15:50:32 Europe/Berlin] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 144
[10-Aug-2025 15:50:50 Europe/Berlin] PHP Warning:  Undefined array key "course_title" in C:\xampp\htdocs\slim_projects\lms_lite\app\controllers\Tenants\InstructorController.php on line 137
